"Board Quantity","Ordering Quantity","Value","Reference","ATTRITION","CAPACITANCE","COLOR","CURRENT","DKPN","FUSE_TYPE","GAUGE","I2T","MANUFACTURER","MOPN","MPN","POWER","RESET_VOLTAGE","RESISTANCE","TEENSY","TIMEOUT","TOLERANCE","VOLTAGE","VOLTAGE_CONTINUOUS","VOLTAGE_MAX",
"1","3","ADG1423","U27","200","","","","ADG1423BRMZ-REEL7CT-ND","","","","Analog Devices Inc.","584-ADG1423BRMZ","ADG1423BRMZ","","","","","","","","","",
"1","3","ADM8316WBX30","U21","200","","","","ADM8316WBX30ARJZR7TR-ND","","","","Analog Devices Inc.","584-M8316WBX30ARJZR7","ADM8316WBX30ARJZR7","","3V","","","102ms","","","","",
"26","36","CAPACITOR_0603_10V_0.1UF","C10, C11, C14, C15, C19, C20, C22, C23, C24, C25, C30, C31, C33, C34, C35, C37, C38, C39, C40, C41, C42, C45, C46, C48, C49, C50","38","0.1µF","","","720-1688-1-ND","","","","Vishay Vitramon","77-VJ0603Y104JXQPBC","VJ0603Y104JXQPW1BC","","","","","","5%","10V","","",
"3","13","CAPACITOR_0603_10V_10NF","C7, C13, C17","333","10nF","","","311-4054-1-ND","","","","Yageo","603-CC603KRX7R6BB103","CC0603KRX7R6BB103","","","","","","10%","10V","","",
"3","13","CAPACITOR_0603_10V_1UF","C6, C9, C18","333","1µF","","","311-1796-1-ND","","","","Yageo","603-CC603KRX7R6BB105","CC0603KRX7R6BB105","","","","","","10%","10V","","",
"2","12","CAPACITOR_0603_10V_4.7NF","C12, C21","500","4.7nF","","","732-7931-1-ND","","","","Würth Elektronik","710-885012206012","885012206012","","","","","","10%","10V","","",
"2","12","CAPACITOR_0603_10V_4.7UF","C5, C28","500","4.7µF","","","1276-1044-1-ND","","","","Samsung Electro-Mechanics","187-CL10A475KP8NNNC","CL10A475KP8NNNC","","","","","","10%","10V","","",
"4","14","CAPACITOR_0603_10V_680PF","C32, C36, C47, C51","250","680pF","","","732-7757-1-ND","","","","Würth Elektronik","710-885012006013","885012006013","","","","","","5%","10V","","",
"3","13","CAPACITOR_0603_25V_0.1UF","C26, C29, C44","333","0.1µF","","","1276-1006-1-ND","","","","Samsung Electro-Mechanics","187-CL10B104KA8NNNC","CL10B104KA8NNNC","","","","","","10%","25V","","",
"1","11","CAPACITOR_0603_25V_10UF","C4","1000","10µF","","","490-7202-1-ND","","","","Murata Electronics","81-GRM188R61E106MA3D","GRM188R61E106MA73D","","","","","","20%","25V","","",
