Comment,Designator,Footprint,LCSC Part #
ADG1423,U27,MSOP-10,
ADM8316WBX30,U21,SOT-23-5,
CAPACITOR_0603_10V_0.1UF,C10 C11 C14 C15 C19 C20 C22 C23 C24 C25 C30 C31 C33 C34 C35 C37 C38 C39 C40 C41 C42 C45 C46 C48 C49 C50,0603-CAP,
CAPACITOR_0603_10V_1UF,C6 C9 C18,0603-CAP,
CAPACITOR_0603_10V_4.7NF,C12 C21,0603-CAP,
CAPACITOR_0603_10V_4.7UF,C5 C28,0603-CAP,
CAPACITOR_0603_10V_10NF,C7 C13 C17,0603-CAP,
CAPACITOR_0603_10V_680PF,C32 C36 C47 C51,0603-CAP,
CAPACITOR_0603_25V_0.1UF,C26 C29 C44,0603-CAP,
CAPACITOR_0603_25V_1UF,C27 C43,0603-CAP,
CAPACITOR_0603_25V_10UF,C4,0603-CAP,
CAPACITOR_0603_50V_0.1UF,C8 C16,0603-CAP,
CAPACITOR_0805_50V_10UF,C1 C2 C3,0805-CAP,
FUSE_0603_.75A,F1 F2,0603-FUSE,
LED_0603_BLUE,5V WATCHDOG,0603-LED,
LED_0603_GREEN,3.3V AMS_OK TSAL_GREEN,0603-LED,
LED_0603_ORANGE,24V IMD_OK,0603-LED,
LED_0603_RED,12V PRECHARGE_OK TEENSY_OK TSAL_RED,0603-LED,
LED_0603_YELLOW,OKHS,0603-LED,
LM555,U15,SOIC-08(NARROW 0.15"),
LOGICGATE_AND_DCK3,U23 U24 U25,SC-70-5,
LOGICGATE_BUFFER,U20,SC-70-5,
LTC6820,U7,MSOP-16,
MAX7404,U17,SOIC-08(NARROW 0.15"),
MAX7404,U19,SOIC-08(NARROW 0.15"),
MAX7404,U29,SOIC-08(NARROW 0.15"),
MAX7404,U31,SOIC-08(NARROW 0.15"),
OPAMP_1_CHANNEL_OPA991,U4 U5 U8 U9 U11 U12 U13 U16 U18 U22 U26 U28 U30,SC-70-5,
RELAY_SOLIDSTATE_NO_CPC1020NTR,K1,SOP-04,
RELAY_SOLIDSTATE_NO_DIP-4,U2 U3 U14,DIP-4,
RESISTOR_0603_,R13 R15,0603-RES,
RESISTOR_0603_1K,R24 R30 R31 R65 R73 R83 R96,0603-RES,
RESISTOR_0603_1M,R92,0603-RES,
RESISTOR_0603_2.2K,R17 R19,0603-RES,
RESISTOR_0603_2.74K,R42 R44,0603-RES,
RESISTOR_0603_2K,R18 R25 R28 R29 R48 R72 R74 R95,0603-RES,
RESISTOR_0603_3.3K,R49,0603-RES,
RESISTOR_0603_4.64K,R8 R10 R12,0603-RES,
RESISTOR_0603_5.1K,R4 R16 R21,0603-RES,
RESISTOR_0603_5.9K,R54,0603-RES,
RESISTOR_0603_8.66K,R93,0603-RES,
RESISTOR_0603_10,R1 R6 R70 R71,0603-RES,
RESISTOR_0603_10.5K,R22 R23 R33 R34 R37 R38,0603-RES,
RESISTOR_0603_10K,R2 R5 R45 R46 R47 R55 R56 R57 R61 R62 R66 R67 R69 R75 R77 R79 R81 R86 R87 R88 R91 R94 R97 R99 R101,0603-RES,
RESISTOR_0603_11.5K,R53,0603-RES,
RESISTOR_0603_12K,R76 R78 R98 R100,0603-RES,
RESISTOR_0603_13K,R35 R36 R39 R40,0603-RES,
RESISTOR_0603_14K,R63 R84,0603-RES,
RESISTOR_0603_18.7K,R14,0603-RES,
RESISTOR_0603_20K,R3 R20,0603-RES,
RESISTOR_0603_36.5K,R7 R9 R11 R58,0603-RES,
RESISTOR_0603_43K,R68,0603-RES,
RESISTOR_0603_60.4,R26 R27 R50 R51,0603-RES,
RESISTOR_0603_73.2K,R90,0603-RES,
RESISTOR_0603_100K,R41 R43,0603-RES,
RESISTOR_0603_120,R32,0603-RES,
RESISTOR_0603_330K,R59,0603-RES,
RESISTOR_0603_470,R80 R82 R89,0603-RES,
RESISTOR_0603_DNP,R52 R60 R64 R85,0603-RES,
TCAN1051HQV-Q1,U6,SOIC-08(NARROW 0.15"),
TCAN1051HQV-Q1,U10,SOIC-08(NARROW 0.15"),
TEST_POINT,BSPD_CURRENT CURRENT_REF CURRENT_SENSE PACK+_OUT_TEST PRECHARGE_OK_TEST TD+ TD-,MICRO_MINIATURE,
TEST_POINT,TP_3.3V TP_5V TP_12V TP_24V,5015,
TEST_POINT,TP_AMS_OK,MICRO_MINIATURE,
TEST_POINT,TP_GND,5015,
TEST_POINT,TP_IMD_OK TP_TSAL_GREEN TP_TSAL_RED TS+_OUT_TEST WATCHDOG_INPUT,MICRO_MINIATURE,
TRANSFORMER_HM2112ZNLT_AIRGAP,T1,HM2112ZNLT_AIRGAP,
TRANSISTOR_N_MOS__PMV15ENEA,Q1 Q2 Q3 Q4,SOT-23,
TVS_8V,D1 D3 D7,SOT-23,
TVS_15V,D9 D10,SOT-23,
TVS_28VDO-214AA,D4 D5 D6 D8,DO-214AA,
TVS_30VDO-214AA,D2,DO-214AA,
VOLTAGE_REGULATOR_SOT-223_3.3V,U1,SOT-223,
