Designator,Mid X,Mid Y,Layer,Rotation
3.3V,74.28,-57.73,Top,0.0
5V,74.28,-53.76,Top,0.0
12V,74.28,-49.70,Top,0.0
24V,74.28,-44.93,Top,0.0
AMS_OK,74.28,-39.82,Top,0.0
BSPD_CURRENT,90.85,-49.39,Top,0.0
C1,27.90,-12.47,Top,90.0
C2,28.00,-4.54,Top,270.0
C3,44.56,-4.69,Top,270.0
C4,44.68,-12.67,Top,90.0
C5,61.47,-6.03,Top,90.0
C6,62.80,-11.44,Top,180.0
C7,192.43,-23.25,Top,180.0
C8,-11.40,-36.09,Top,270.0
C9,100.30,-26.36,Top,0.0
C10,100.30,-27.88,Top,0.0
C11,107.67,-30.80,Top,0.0
C12,114.12,-31.39,Top,180.0
C13,173.86,-28.98,Top,270.0
C14,-22.72,-46.25,Top,90.0
C15,-6.28,-44.43,Top,90.0
C16,-1.13,-36.30,Top,270.0
C17,23.40,-43.63,Top,0.0
C18,100.38,-36.93,Top,0.0
C19,100.38,-38.66,Top,0.0
C20,108.20,-41.78,Top,0.0
C21,114.02,-40.87,Top,180.0
C22,172.07,-29.00,Top,90.0
C23,-26.23,-54.27,Top,90.0
C24,-16.64,-50.05,Top,180.0
C25,-7.30,-51.81,Top,90.0
C26,19.50,-52.42,Top,270.0
C27,21.40,-52.42,Top,270.0
C28,30.28,-49.20,Top,270.0
C29,109.56,-48.36,Top,180.0
C30,114.01,-47.37,Top,0.0
C31,114.68,-55.54,Top,0.0
C32,118.96,-47.37,Top,180.0
C33,127.79,-48.90,Top,180.0
C34,132.09,-47.78,Top,0.0
C35,132.38,-55.76,Top,0.0
C36,137.04,-47.78,Top,180.0
C37,159.38,-55.58,Top,90.0
C38,-25.92,-65.32,Top,90.0
C39,-20.10,-59.60,Top,180.0
C40,-11.87,-59.39,Top,180.0
C41,-3.64,-59.39,Top,180.0
C42, 5.40,-60.79,Top,270.0
C43,21.14,-58.32,Top,90.0
C44,109.27,-60.21,Top,180.0
C45,111.01,-66.25,Top,180.0
C46,114.12,-59.93,Top,0.0
C47,118.57,-59.93,Top,180.0
C48,128.04,-60.91,Top,180.0
C49,129.30,-66.50,Top,180.0
C50,132.16,-60.31,Top,0.0
C51,136.98,-60.31,Top,180.0
C52,171.60,-36.78,Top,270.0
C53,169.82,-36.78,Top,90.0
C54,192.50,-41.52,Top,180.0
CURRENT_REF,90.85,-39.99,Top,0.0
CURRENT_SENSE,90.85,-44.78,Top,0.0
D1,11.41,-3.14,Top,180.0
D2,18.25,-8.90,Top,180.0
D3,98.89,-10.00,Top,0.0
D4,107.11,-6.22,Top,90.0
D5,118.79,-6.43,Top,90.0
D6,129.36,-6.35,Top,90.0
D7,138.26,-6.34,Top,0.0
D8,149.63,-6.20,Top,90.0
D9,31.27,-43.23,Top,180.0
D10,30.46,-61.67,Top,0.0
F1,38.96,-48.08,Top,270.0
F2,38.96,-57.50,Top,270.0
IMD_OK,74.28,-35.83,Top,0.0
OKHS,173.08,-4.20,Top,0.0
PACK+_OUT_TEST,90.54,-30.84,Top,180.0
PRECHARGE_OK,74.40,-30.68,Top,0.0
PRECHARGE_OK_TEST,80.92,-30.80,Top,180.0
Q1, 8.98,-8.97,Top,90.0
Q2,94.23,-6.23,Top,90.0
Q3,34.49,-48.03,Top,270.0
Q4,33.86,-57.43,Top,270.0
R1, 8.77,-11.75,Top,0.0
R2,14.32,-3.17,Top,90.0
R3,77.83,-10.25,Top,90.0
R4,93.22,-9.96,Top,270.0
R5,94.92,-9.89,Top,90.0
R6,98.16,-7.24,Top,180.0
R7,111.41,-4.29,Top,270.0
R8,111.41,-8.00,Top,270.0
R9,122.79,-4.95,Top,270.0
R10,122.79,-8.28,Top,270.0
R11,133.33,-4.55,Top,270.0
R12,133.33,-8.26,Top,270.0
R13,142.35,-7.82,Top,180.0
R14,142.37,-5.28,Top,0.0
R15,153.78,-4.27,Top,270.0
R16,153.80,-8.08,Top,270.0
R17,167.23,-8.56,Top,0.0
R18,170.25,-4.20,Top,0.0
R19,172.15,-8.55,Top,180.0
R20,77.19,-20.16,Top,90.0
R21,93.45,-18.42,Top,180.0
R22,-6.96,-36.09,Top,90.0
R23, 3.44,-36.23,Top,90.0
R24,69.30,-30.71,Top,0.0
R25,69.30,-35.89,Top,0.0
R26,112.34,-28.85,Top,180.0
R27,115.49,-28.80,Top,0.0
R28,165.84,-28.06,Top,90.0
R29,168.13,-28.06,Top,90.0
R30,176.85,-31.59,Top,270.0
R31,178.65,-31.58,Top,90.0
R32,212.75,-23.11,Top,270.0
R33,-31.34,-45.46,Top,0.0
R34,-31.34,-47.44,Top,0.0
R35,-28.37,-47.47,Top,0.0
R36,-28.35,-45.46,Top,0.0
R37,-14.83,-43.36,Top,0.0
R38,-14.76,-45.18,Top,0.0
R39,-11.84,-43.36,Top,0.0
R40,-11.79,-45.21,Top,0.0
R41,-10.67,-38.71,Top,0.0
R42,-7.65,-38.71,Top,180.0
R43,-0.39,-38.83,Top,0.0
R44, 2.63,-38.87,Top,180.0
R45,166.15,-33.39,Top,180.0
R46,27.75,-43.47,Top,0.0
R47,34.09,-43.51,Top,90.0
R48,69.30,-39.82,Top,0.0
R49,69.33,-44.97,Top,0.0
R50,112.57,-38.53,Top,180.0
R51,115.57,-38.53,Top,0.0
R52,-31.74,-57.42,Top,90.0
R53,-31.74,-54.19,Top,90.0
R54,-30.17,-57.42,Top,90.0
R55,-29.99,-50.09,Top,0.0
R56,-27.33,-57.42,Top,90.0
R57,-25.10,-49.15,Top,180.0
R58,-20.18,-52.22,Top,90.0
R59,-20.12,-55.46,Top,90.0
R60,-18.57,-55.46,Top,90.0
