Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "AMS Segment rev18.brd" as of: 12/2/2022 2:49 PM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,10.746,-1.557,270
C2,Top,10.534,-1.337,90
C3,Top,9.772,-0.317,270
C4,Top,8.352,-0.316,90
C5,Top,7.984,-1.855,270
C6,Top,7.851,-1.855,90
C7,Top,7.785,-1.855,90
C8,Top,7.724,-1.855,90
C9,Top,7.680,-1.240,0
C10,Top,7.667,-2.354,90
C11,Top,7.645,-1.500,90
C12,Top,7.325,-1.480,90
C13,Top,7.293,-1.025,0
C14,Top,6.308,-1.030,0
C15,Top,5.599,-2.021,270
C16,Top,5.674,-2.021,270
C17,Top,5.371,-2.021,270
C18,Top,5.447,-2.021,270
C19,Top,4.968,-1.028,0
C20,Top,3.998,-1.025,180
C21,Top,3.855,-1.265,270
C22,Top,3.535,-1.245,270
C23,Top,3.500,-1.440,180
C24,Top,3.166,-1.882,90
C25,Top,3.130,-2.350,270
C26,Top,3.063,-2.345,270
C27,Top,2.996,-2.345,270
C28,Top,2.920,-2.345,270
C29,Top,2.884,-0.257,90
C30,Top,2.057,-1.816,90
C31,Top,1.843,-1.592,90
C32,Top,1.433,-0.320,270
CELL1:C1,Top,10.409,-1.313,270
CELL1:D1,Top,10.163,-1.196,0
CELL1:Q1,Top,10.176,-1.312,90
CELL1:R1,Top,10.313,-1.276,0
CELL1:R2,Top,10.313,-1.351,0
CELL1:R3,Top,9.833,-1.766,0
CELL1:R4,Top,10.162,-1.429,180
CELL2:C1,Top,9.997,-2.594,180
CELL2:D1,Top,9.992,-2.204,180
CELL2:Q1,Top,9.998,-2.371,0
CELL2:R1,Top,10.034,-2.503,270
CELL2:R2,Top,9.959,-2.503,270
CELL2:R3,Top,9.677,-2.019,180
CELL2:R4,Top,9.993,-2.136,0
CELL3:C1,Top,9.603,-0.811,0
CELL3:D1,Top,9.521,-1.202,90
CELL3:Q1,Top,9.602,-1.044,180
CELL3:R1,Top,9.566,-0.907,90
CELL3:R2,Top,9.641,-0.907,90
CELL3:R3,Top,9.240,-1.343,0
CELL3:R4,Top,9.521,-1.322,90
CELL4:C1,Top,9.356,-2.604,180
CELL4:D1,Top,9.347,-2.194,180
CELL4:Q1,Top,9.353,-2.366,0
CELL4:R1,Top,9.389,-2.498,270
CELL4:R2,Top,9.314,-2.498,270
CELL4:R3,Top,9.032,-2.019,180
CELL4:R4,Top,9.348,-2.126,0
CELL5:C1,Top,9.094,-1.513,270
CELL5:D1,Top,8.957,-1.804,180
CELL5:Q1,Top,8.957,-1.664,180
CELL5:R1,Top,8.921,-1.522,90
CELL5:R2,Top,8.996,-1.522,90
CELL5:R3,Top,8.628,-1.646,0
CELL5:R4,Top,8.958,-1.866,0
CELL6:C1,Top,8.707,-2.594,180
CELL6:D1,Top,8.702,-2.194,180
CELL6:Q1,Top,8.708,-2.366,0
CELL6:R1,Top,8.744,-2.498,270
CELL6:R2,Top,8.669,-2.498,270
CELL6:R3,Top,8.385,-2.017,180
CELL6:R4,Top,8.703,-2.126,0
CELL7:C1,Top,8.071,-1.602,90
CELL7:D1,Top,8.319,-1.724,180
CELL7:Q1,Top,8.304,-1.603,270
CELL7:R1,Top,8.167,-1.639,180
CELL7:R2,Top,8.167,-1.564,180
CELL7:R3,Top,8.108,-1.341,0
CELL7:R4,Top,8.303,-1.486,0
CELL8:C1,Top,7.551,-2.532,90
CELL8:D1,Top,7.951,-2.527,90
CELL8:Q1,Top,7.779,-2.533,270
