"Board Quantity","Ordering Quantity","Value","Reference","ATTRITION","DKPN","FUSE_TYPE","MANUFACTURER","MOPN","MPN","POWER","RESISTANCE","TOLERANCE","VOLTAGE","VOLTAGE_CONTINUOUS","VOLTAGE_MAX",
"1","3","CONNECTOR-10_MF_T_V_","J4","200","WM1799-ND","","MOLEX","538-43045-1014","430451014","","","","","","",
"1","3","CONNECTOR-16_MF_T_V_","J10","200","WM4718-ND","","MOLEX","538-43045-1614","0430451614","","","","","","",
"1","3","CONNECTOR-18_MF_T_V_","J11","200","WM4719-ND","","MOLEX","538-43045-1814","0430451814","","","","","","",
"2","4","CONNECTOR-34__","J6, J7","100","SAM15557-ND","","Samtec","200-EHT11701LD","EHT-117-01-L-D","","","","","","",
"3","5","CONNECTOR-4_μF_T_V_BLACK","J5, J8, J9","67","2266-43045-0414-ND","","Molex","538-43045-0414","430450414","","","","","","",
"4","6","CONNECTOR-8_μF_T_V_BLACK","J1, J2, J3, J12","50","WM1798-ND","","Molex","538-43045-0814","430450814","","","","","","",
"1","3","FUSE_HOLDER_MINIBLADESMD","XF1","200","36-3588-ND","MINI 297","Keystone Electronics","534-3588","3588","","","","","","",
"1","2","RECEPTACLE-10_MICROFIT","O5","100","WM16255-ND","","Molex","538-43025-1008","0430251008","","","","","","",
"1","2","RECEPTACLE-16_MICROFIT","O6","100","WM2490-ND","","Molex","538-43025-1600","0430251600","","","","","","",
"1","2","RECEPTACLE-18_MICROFIT","O7","100","WM2491-ND","","Molex","538-43025-1800","0430251800","","","","","","",
"4","8","RECEPTACLE-8_MICROFIT","O1, O2, O3, O4","100","WM13210-ND","","Molex","538-43025-0808","0430250808","","","","","","",
"3","13","RESISTOR_0603_100","R1, R2, R3","333","311-100HRCT-ND","","Yageo","603-RC0603FR-07100RL","RC0603FR-07100RL","0.1W","100","1%","","3.16V","75V",
"2","12","RESISTOR_0603_100K","R14, R15","500","311-100KHRTR-ND","","Yageo","603-RC0603FR-07100KL ","RC0603FR-07100KL","0.1W","100k","1%","","75V","75V",
"4","14","RESISTOR_0603_10K","R5, R8, R11, R12","250","P10KBDCT-ND","","Panasonic Electronic Components","667-ERA-3ARB103V","ERA-3ARB103V","0.1W","10k","0.1%","","31.62V","75V",
"4","14","RESISTOR_0603_5.1K","R6, R7, R9, R10","250","311-5.10KHRTR-ND","","Yageo","603-RC0603FR-075K1L ","RC0603FR-075K1L","0.1W","5.1k","1%","","22.58V","75V",
"6","8","TEST_POINT","TP1, TP2, TP3, TP4, TP5, TP6","33","36-5015CT-ND","","Keystone Electronics","534-5015","5015","","","","","","",
"3","5","TRANSISTOR_N_MOS__DMG3406L-7","Q1, Q3, Q5","67","DMG3406L-7DITR-ND","","Diodes Incorporated","621-DMG3406L-7","DMG3406L-7","","","","","","",
"3","8","TRANSISTOR_P_MOS_SOT-23_DMP3056L-7","Q2, Q4, Q6","167","DMP3056L-7DITR-ND","","Diodes Incorporated","621-DMP3056L-7","DMP3056L-7","","","","","","",
"6","8","TVS__15V","D1, D2, D3, D4, D5, D6","33","GSOT15-E3-08CT-ND","","Vishay General Semiconductor - Diodes Division","78-GSOT15-E3-08","GSOT15-E3-08","","","","15V","","",
"1","3","VOLTAGE_REGULATOR_MODULE_OKI-78SR_12V","A1","200","811-3293-ND","","Murata Power Solutions Inc.","580-OKI78SR12/1W36C","OKI-78SR-12/1.0-W36-C","","","","","","",
