Designator,Mid X,Mid Y,Layer,Rotation
D1,37.97,22.23,Bottom,90.0
D2,32.89,18.41,Bottom,270.0
D3,50.80,22.10,Bottom,90.0
D4,44.83,18.67,Bottom,270.0
D5,56.39,18.54,Bottom,270.0
D6,59.94,22.10,Bottom,90.0
Q1,37.97,18.67,Bottom,270.0
Q2,32.89,21.97,Bottom,90.0
Q3,50.80,18.54,Bottom,270.0
Q4,44.83,22.23,Bottom,90.0
Q5,59.94,18.54,Bottom,270.0
Q6,54.86,22.10,Bottom,180.0
R5,40.51,18.67,Bottom,90.0
R6,35.43,18.67,Bottom,90.0
R7,30.23,21.97,Bottom,90.0
R8,53.34,18.54,Bottom,90.0
R9,48.26,18.80,Bottom,90.0
R10,48.26,21.84,Bottom,90.0
R11,57.40,21.84,Bottom,90.0
R12,62.48,18.54,Bottom,90.0
