"Board Quantity","Ordering Quantity","Value","Reference","ATTRITION","CAPACITANCE","DKPN","MANUFACTURER","MOPN","MPN","POWER","RESISTANCE","TOLERANCE","VOLTAGE","VOLTAGE_CONTINUOUS","VOLTAGE_MAX",
"4","14","CAPACITOR_0603_25V_0.1UF","C1, C2, C4, C5","250","0.1µF","1276-1006-1-ND","Samsung Electro-Mechanics","187-CL10B104KA8NNNC","CL10B104KA8NNNC","","","10%","25V","","",
"1","11","CAPACITOR_0603_25V_1UF","C3","1000","1µF","1276-1184-1-ND","Samsung Electro-Mechanics","187-CL10B105KA8NNNC","CL10B105KA8NNNC","","","10%","25V","","",
"1","11","CAPACITOR_0603_50V_0.1UF","C8","1000","0.1µF","311-1344-1-ND","Yageo","603-CC603KRX7R9BB104","CC0603KRX7R9BB104","","","10%","50V","","",
"1","11","CAPACITOR_0603_50V_1UF","C7","1000","1uF","587-2400-2-ND","Taiyo Yuden","963-UMK107BJ105KA-T","UMK107BJ105KA-T","","","10%","50V","","",
"1","11","CAPACITOR_0805_25V_22UF","C6","1000","22µF","311-1903-1-ND","Yageo","603-CC805MKX5R8BB226","CC0805MKX5R8BB226","","","20%","25V","","",
"1","3","CONNECTOR-2_MICROFIT_SMD_RIGHTANGLE_02_SINGLE_BLACK","J2","200","","WM14310CT-ND","Molex","538-43650-0214","0436500214","","","","","","",
"1","3","CONNECTOR-4_AMPHENOL_M12A_04PMMP_","J3","200","","1754-1007-ND ","Amphenol","","M12A-04PMMP-SF8001","","","","","","",
"2","4","CONNECTOR-4_μF_S_RA_","J4, J5","100","","WM1832CT-ND","Molex","538-0430450411","0430450411","","","","","","",
"1","3","CONNECTOR-8_AMPHENOL_M12A_08PMMP_","J1","200","","1754-1026-ND","Amphenol LTW","523-M12A08PMMPSF8001","M12A-08PMMP-SF8001","","","","","","",
"1","3","INA823DT","U3","200","","296-INA823DTCT-ND","Texas Instruments","595-INA823DT","INA823DT","","","","","","",
"4","14","JUMPER_0603_","JP1, JP2, JP3, JP4","250","","13-RC0603FR-130RLTR-ND","YAGEO","603-RC0603FR-130RL","RC0603FR-130RL","","","","","","",
"3","5","OPAMP_1_CHANNEL_OPA991","U2, U4, U5","67","","296-OPA991IDCKRCT-ND","Texas Instruments","595-OPA991IDCKR","OPA991IDCKR","","","","","","",
"1","2","RECEPTACLE-2_MICROFIT","O3","100","","WM1845-ND","Molex","538-43645-0200","0436450200","","","","","","",
"2","4","RECEPTACLE-4_MICROFIT","O1, O2","100","","WM11225-ND","Molex","538-43025-0408","0430250408","","","","","","",
"3","13","RESISTOR_0603_1.5M","R3, R5, R7","333","","311-1.50MHRCT-ND","Yageo","603-RC0603FR-071M5L","RC0603FR-071M5L","0.1W","1.5M","1%","","75V","75V",
"2","12","RESISTOR_0603_1K","R1, R13","500","","1712-CPF-A-0603B1K0ETR-ND","TE Connectivity Passive Product","279-CPF-A-0603B1K0E"," CPF-A-0603B1K0E","0.0625W","1k","0.1%","","7.9V","50V",
"1","11","RESISTOR_0603_1M","R12","1000","","311-1.00MHRCT-ND","Yageo","603-RC0603FR-071ML","RC0603FR-071ML","0.1W","1M","1%","","75V","75V",
"1","11","RESISTOR_0603_2.74K","R4","1000","","P20020CT-ND","Panasonic Electronic Components","667-ERJ-PB3B2741V","ERJ-PB3B2741V","0.2W","2.74k","0.1%","","23.41V","150V",
"1","11","RESISTOR_0603_20K","R2","1000","","311-20.0KHRTR-ND","Yageo","603-RC0603FR-0720KL ","RC0603FR-0720KL","0.1 W","20k","1%","","44.72V","75V",
"1","3","VOLTAGE_REFERENCE_SOIC-8_10V","U6","200","","  MAX6176AASA+-ND","Maxim Integrated","700-MAX6176AASA","MAX6176AASA+","","","","","","",
"1","3","VOLTAGE_REGULATOR_SOT-89REVERSE_","U1","200","","497-7279-2-ND","STMicroelectronics","511-L78L15ACU-TR","L78L15ACUTR","","","","","","",
