Designator,Mid X,Mid Y,Layer,Rotation
3.3V,623.57,429.26,Top,90.0
5V,623.57,435.61,Top,90.0
12V,623.57,441.96,Top,90.0
24V,623.57,448.31,Top,90.0
A2,594.36,444.50,Top,180.0
C8,656.59,439.42,Top,270.0
C10,571.50,430.53,Top,270.0
C11,568.96,430.53,Top,270.0
C12,494.03,440.69,Top,270.0
C15,568.71,445.77,Top,270.0
C16,491.49,440.69,Top,270.0
C17,571.88,450.22,Top,180.0
C24,647.70,433.07,Top,90.0
C25,565.15,454.66,Top,0.0
C33,643.89,433.07,Top,90.0
C34,568.96,457.20,Top,0.0
C38,576.58,459.74,Top,270.0
C39,574.04,459.74,Top,270.0
C40,652.78,439.42,Top,270.0
D1,607.06,455.93,Top,180.0
D3,681.99,426.72,Top,90.0
D4,669.29,426.72,Top,90.0
D5,675.64,426.72,Top,90.0
D6,662.81,438.79,Top,0.0
J2,678.18,448.31,Top,180.0
J3,514.35,448.31,Top,180.0
J4,640.08,453.39,Top,180.0
J6,548.64,454.66,Top,180.0
JP1,568.96,452.12,Top,180.0
R1,622.43,426.21,Top,0.0
R2,622.30,439.04,Top,0.0
R3,664.21,429.26,Top,180.0
R4,664.21,434.34,Top,180.0
R5,664.21,431.80,Top,180.0
R6,607.06,458.47,Top,0.0
R8,652.78,429.26,Top,180.0
R9,566.42,444.50,Top,270.0
R10,622.30,432.56,Top,0.0
R11,580.39,447.04,Top,180.0
R12,652.78,434.34,Top,180.0
R13,580.39,441.96,Top,180.0
R14,652.78,431.80,Top,180.0
R36,565.02,452.12,Top,0.0
R60,568.96,454.66,Top,0.0
R83,622.43,445.14,Top,0.0
RN2,566.42,439.42,Top,90.0
RN4,566.42,434.34,Top,90.0
TP2,698.50,434.34,Top,0.0
TP3,698.50,440.69,Top,0.0
TP4,698.50,427.99,Top,0.0
TP_3.3V,627.38,430.53,Top,0.0
TP_5V,627.38,436.88,Top,0.0
TP_12V,627.38,443.23,Top,0.0
TP_24V,627.38,449.58,Top,0.0
TP_GND,627.38,424.18,Top,0.0
U3,574.04,436.88,Top,90.0
U5,574.04,444.50,Top,270.0
U27,575.31,454.66,Top,90.0
XF1,615.95,453.39,Top,270.0
