"Board Quantity","Ordering Quantity","Value","Reference","ATTRITION","CAPACITANCE","COLOR","CURRENT","DKPN","FREQUENCY","FUSE_TYPE","GAUGE","MANUFACTURER","MOPN","MPN","POWER","RESISTANCE","TOLERANCE","VOLTAGE","VOLTAGE_CONTINUOUS","VOLTAGE_MAX","VOLUME",
"1","3","24_MHZ_XTAL_OSCILLATOR","X1","200","","","","FL2400022CT-ND","","","","","729-FL2400022","FL2400022","","","","","","","",
"1","3","BUTTON","S1","200","","","","SW415-ND ","","","","Omron","653-B3S-1000","B3S-1000","","","","","","","",
"1","3","BUZZER_3_PIN_CPT-3011C-120","LS100","200","","","","102-3762-ND","3kHz","","","CUI Devices","490-CPT-3011C-120 ","CPT-3011C-120","","","","12V","","","85dB",
"19","29","CAPACITOR_0603_10V_0.1UF","C4, C5, C6, C7, C9, C10, C11, C12, C14, C16, C18, C19, C20, C21, C26, C27, C28, C34, C38","53","0.1µF","","","720-1688-1-ND","","","","Vishay Vitramon","77-VJ0603Y104JXQPBC","VJ0603Y104JXQPW1BC","","","5%","10V","","","",
"2","12","CAPACITOR_0603_10V_15PF","C1, C2","500","15pF","","","720-VJ0603A150FXQPW1BCCT-ND","","","","Vishay Vitramon","77-VJ0603A150FXQPBC","VJ0603A150FXQPW1BC","","","1%","10V","","","",
"2","12","CAPACITOR_0603_10V_1UF","C13, C39","500","1µF","","","311-1796-1-ND","","","","Yageo","603-CC603KRX7R6BB105","CC0603KRX7R6BB105","","","10%","10V","","","",
"1","11","CAPACITOR_0603_10V_4.7NF","C25","1000","4.7nF","","","732-7931-1-ND","","","","Würth Elektronik","710-885012206012","885012206012","","","10%","10V","","","",
"3","13","CAPACITOR_0603_10V_4.7UF","C3, C22, C29","333","4.7µF","","","1276-1044-1-ND","","","","Samsung Electro-Mechanics","187-CL10A475KP8NNNC","CL10A475KP8NNNC","","","10%","10V","","","",
"1","11","CAPACITOR_0603_25V_0.1UF","C15","1000","0.1µF","","","1276-1006-1-ND","","","","Samsung Electro-Mechanics","187-CL10B104KA8NNNC","CL10B104KA8NNNC","","","10%","25V","","","",
"1","11","CAPACITOR_0603_25V_1.2NF","C17","1000","1.2nF","","","311-4079-2-ND","","","","YAGEO","603-CC603KRX7R8BB122 ","CC0603KRX7R8BB122","","","10%","25V","","","",
"1","11","CAPACITOR_0603_25V_10UF","C33","1000","10µF","","","490-7202-1-ND","","","","Murata Electronics","81-GRM188R61E106MA3D","GRM188R61E106MA73D","","","20%","25V","","","",
"3","13","CAPACITOR_0805_50V_10UF","C8, C24, C40","333","10uF","","","490-18663-2-ND","","","","Murata","81-GRM21BR61H106KE3L"," GRM21BR61H106KE43L","","","10%","50V","","","",
"2","4","CONNECTOR-10__","J5, J10","100","","","","WM12366CT-ND","","","","MOLEX","538-505110-1092","  5051101092","","","","","","","",
"2","4","CONNECTOR-4_FD19_0492_","J7, J9","100","","","","WM12360CT-ND","","","","Molex","538-505110-0492","505110-0492","","","","","","","",
"2","4","CONNECTOR-4_μF_S_RA_","J1, J3","100","","","","WM1832CT-ND","","","","Molex","538-0430450411","0430450411","","","","","","","",
"1","3","CONNECTOR-6_μF_S_RA_","J4","200","","","","WM1833CT-ND","","","","Molex","538-43045-0611","0430450611","","","","","","","",
"2","4","CONNECTOR-8_μF_S_RA_","J2, J11","100","","","","WM1834CT-ND","","","","Molex","538-43045-0811","0430450811","","","","","","","",
"18","36","CRIMP_MICROFIT_20-24","O6, O7, O8, O9, O10, O11, O12, O13, O14, O15, O16, O17, O18, O19, O20, O21, O22, O23","100","","","","WM2776CT-ND","","","20-24","Molex","538-43030-0003","0430300003","","","","","","","",
"1","3","FUSE_HOLDER_MINIBLADESMD","XF1","200","","","","36-3588-ND","","MINI 297","","Keystone Electronics","534-3588","3588","","","","","","","",
"1","2","FUSE_MINI_BLADE_2","O4","100","","","2A","F986-ND","","MINI 297","","Littelfuse Inc.","576-0297002.WXNV","0297002.WXNV","","","","","","","",
"1","","JUMPER_3PIN","U$12","","","","","","","","","","","","","","","","","","",
"1","11","LED_0603_BLUE","5V","1000","","Blue","","754-1789-1-ND","","","","Kingbright","604-APT1608VBC/D","APT1608VBC/D","","","","","","","",
"2","12","LED_0603_GREEN_2V2","3V3, MCU_LED","500","","Green","","754-1121-1-ND","","","","Kingbright","604-APT1608SGC","APT1608SGC","","","","","","","",
"1","11","LED_0603_ORANGE","24V","1000","","Orange","","754-1120-1-ND","","","","Kingbright","604-APT1608SECK","APT1608SECK","","","","","","","",
"1","11","LED_0603_RED","12V","1000","","Red","","754-1786-1-ND","","","","Kingbright","604-APT1608SECKJ3PRV","APT1608SECK/J3-PRV","","","","","","","",
"1","3","LED_7_SEGMENT_BLUE_DSM7TA","D101","200","","Blue","","DSM7TA56106TTR-ND","","","","Visual Communications Company","593-DSM7TA56106T ","DSM7TA56106T","","","","","","","",
"1","3","MCP23S08","U3","200","","","","MCP23S08-E/SS-ND","","","","Microchip Technology","579-MCP23S08-E/SS","MCP23S08-E/SS","","","","","","","",
"12","14","NEOPIXEL_IN-PI55QATPRPGPBPW-40","U1, U2, U4, U6, U7, U8, U9, U10, U12, U13, U14, U15","17","","","","1830-1210-2-ND","","","","Inolux","743-I55QATPRPGPBPW40 ","IN-PI55QATPRPGPBPW-40","","","","","","","",
"1","3","RE46C100","U5","200","","","","RE46C100S8TFTR-ND","","","","Microchip Technology","579-RE46C100S8TF "," RE46C100S8TF","","","","","","","",
"1","2","RECEPTACLE-4_MICROFIT","O1","100","","","","WM11225-ND","","","","Molex","538-43025-0408","0430250408","","","","","","","",
"1","2","RECEPTACLE-6_MICROFIT","O2","100","","","","WM13209-ND","","","","Molex","538-43025-0608","0430250608","","","","","","","",
"1","2","RECEPTACLE-8_MICROFIT","O3","100","","","","WM13210-ND","","","","Molex","538-43025-0808","0430250808","","","","","","","",
"1","11","RESISTOR_0603_0","R15","1000","","","","311-0.0HRCT-ND","","","","Yageo","603-RC0603FR-070RL","RC0603FR-070RL","0.1W","0","1%","","75V","75V","",
"1","11","RESISTOR_0603_1.5M","R13","1000","","","","311-1.50MHRCT-ND","","","","Yageo","603-RC0603FR-071M5L","RC0603FR-071M5L","0.1W","1.5M","1%","","75V","75V","",
"3","13","RESISTOR_0603_10K","R7, R11, R16","333","","","","P10KBDCT-ND","","","","Panasonic Electronic Components","667-ERA-3ARB103V","ERA-3ARB103V","0.1W","10k","0.1%","","31.62V","75V","",
"1","11","RESISTOR_0603_150K","R9","1000","","","","P150KDBCT-ND","","","","Panasonic Electronic Components","667-ERA-3AEB154V","ERA-3AEB154V","0.1W","150k","1%","","75V","75V","",
"1","11","RESISTOR_0603_180","R21","1000","","","","311-180HRCT-ND","","","","Yageo","603-RC0603FR-07180RL","RC0603FR-07180RL","0.1W","180","1%","","4.24V","75V","",
"1","11","RESISTOR_0603_1K","R2","1000","","","","1712-CPF-A-0603B1K0ETR-ND","","","","TE Connectivity Passive Product","279-CPF-A-0603B1K0E"," CPF-A-0603B1K0E","0.0625W","1k","0.1%","","7.9V","50V","",
"2","12","RESISTOR_0603_240","R1, R6","500","","","","311-240HRCT-ND","","","","Yageo","603-RC0603FR-07240RL","RC0603FR-07240RL","0.1W","240","1%","","4.90V","75V","",
"1","11","RESISTOR_0603_3.3K","R83","1000","","","","P20340TR-ND","","","","Panasonic Electronic Components","667-ERJ-PB3D3301V","ERJ-PB3D3301V","0.3W","3.3k","0.5%","","25.69V","150","",
"2","12","RESISTOR_0603_30","R19, R20","500","","","","10-ERJ-UP3F30R0VCT-ND","","","","Panasonic Electronic Components","667-ERJ-UP3F30R0V","ERJ-UP3F30R0V","0.25W","30","1%","","2.74V","150","",
"3","13","RESISTOR_0603_41.2K","R3, R4, R5","333","","","","P20155CT-ND","","","","Panasonic Electronic Components","667-ERJ-PB3B4122V"," ERJ-PB3B4122V","0.2W","41.2k","0.1%","","150V","200V","",
"5","15","RESISTOR_0603_5.1K","R8, R12, R14, R17, R18","200","","","","311-5.10KHRTR-ND","","","","Yageo","603-RC0603FR-075K1L ","RC0603FR-075K1L","0.1W","5.1k","1%","","22.58V","75V","",
"2","12","RESISTOR_0603_60.4","R36, R60","500","","","","311-60.4HRCT-ND","","","","Yageo","603-RC0603FR-0760R4L","RC0603FR-0760R4L","0.1W","60.4","1%","","2.48V","75V","",
"2","4","RESISTOR_NETWORK_4_160","RN2, RN4","100","","","","YC164J-160CT-ND","","","","Yageo","603-YC164-JR-07160RL","YC164-JR-07160RL","1/16W","160","5%","50V","","","",
"1","3","SCHOTTKY__15V","D2","200","","","1A","150-LSM115JE3/TR13CT-ND","","","","Microchip Technology","494-LSM115JE3/TR13","LSM115JE3/TR13","","","","15V","","","",
"1","3","SN74LXC2T45DCUR","U$6","200","","","","296-SN74LXC2T45DCUR*","","","","Texas Instruments","595-SN74LXC2T45DCUR","SN74LXC2T45DCUR","","","","","","","",
"1","3","STM32-LQFP64","U16","200","","","","497-15376-ND","","","","STMicroelectronics","511-STM32F446RET6","STM32F446RET6","","","","","","","",
"1","3","SWITCH_SPDT_SSSS916400","S2","200","","","","4809-SSSS916400-ND","","","","Alps Alpine","688-SSSS916400","SSSS916400","","","","","","","",
"1","3","TCAN1051HQV-Q1","U27","200","","","","296-49935-1-ND","","","","Texas Instruments","595-TCAN1051HGVDQ1","TCAN1051HGVDRQ1","","","","","","","",
"13","15","TEST_POINT","BOTS, BRB, INERTIA, NEOPIXELS, SPI1_MOSI, SPI1_SCK, SPI3_MOSI, SPI3_SCK, TP_3.3V, TP_5V, TP_12V, TP_24V, TP_GND","15","","","","36-5015CT-ND","","","","Keystone Electronics","534-5015","5015","","","","","","","",
"4","6","TVS_DO-214AA_30V","D3, D4, D5, D6","50","","","","118-1.5SMBJ30ATR-ND","","","","Bourns Inc.","652-1.5SMBJ30A"," 1.5SMBJ30A","","","","30V","","","",
"1","3","USB4110","J8","200","","","","2073-USB4110-GF-A-1-ND","","","","GCT","640-USB4110-GF-A","USB4110 ","","","","","","","",
"1","3","USBLC6-2SC6","D1","200","","","","497-5235-1-ND","","","","STMicroelectronics","511-USBLC6-2SC6","USBLC6-2SC6","","","","","","","",
"1","3","VOLTAGE_REGULATOR_MODULE__12V","A2","200","","","","811-3294-ND","","","","Murata Power Solutions Inc.","580-OKI78SR12/1W36HC","OKI-78SR-12/1.0-W36H-C","","","","","","","",
"1","3","VOLTAGE_REGULATOR_MODULE__5V","A1","200","","","","811-2692-ND","","","","Murata Power Solutions Inc.","580-OKI78SR51.5W36HC","OKI-78SR-5/1.5-W36H-C ","","","","","","","",
"1","3","VOLTAGE_REGULATOR_SOT-223_3.3V","U17","200","","","","LMS8117AMP-3.3/NOPBCT-ND","","","","Texas Instruments","926-LMS8117AMP33NOPB","LMS8117AMP-3.3/NOPB","","","","","","","",
