Designator,Mid X,Mid Y,Layer,Rotation
C1,21.59,90.17,Top,180.0
C2,21.59,30.48,Top,180.0
C3,24.64,120.40,Top,270.0
C4,21.72,60.96,Top,180.0
C5,62.23,119.38,Top,180.0
C6,60.96,91.44,Top,180.0
C7,72.39,16.51,Top,180.0
D1,84.45,52.07,Top,90.0
D2,77.72,53.21,Top,0.0
J14,81.28,41.91,Top,0.0
R1,77.98,72.01,Top,180.0
R2,45.09,77.98,Top,0.0
R3,45.09,81.03,Top,0.0
R4,45.09,84.07,Top,0.0
R5,45.09,87.12,Top,0.0
R6,45.09,90.04,Top,0.0
R7,45.09,93.09,Top,0.0
R8,38.35,10.67,Top,180.0
R9,38.35,12.45,Top,180.0
R10,77.98,73.66,Top,180.0
R11,77.98,75.31,Top,180.0
R12,77.98,76.96,Top,180.0
R13,77.98,88.27,Top,180.0
R14,77.98,89.92,Top,180.0
R15,77.98,91.57,Top,180.0
R16,77.98,93.22,Top,180.0
R17,45.09,71.88,Top,0.0
R18,45.09,74.93,Top,0.0
R19,38.35,14.22,Top,180.0
R20, 5.46,23.11,Top,0.0
R21, 5.46,26.04,Top,0.0
R22, 5.46,29.08,Top,0.0
R23, 5.46,32.13,Top,0.0
R24,77.98,102.36,Top,180.0
R25,77.98,104.14,Top,180.0
R26,77.98,105.92,Top,180.0
R27,77.98,107.70,Top,180.0
R28,38.35,16.00,Top,180.0
R29,38.35,26.67,Top,180.0
R30,38.35,28.45,Top,180.0
R31,38.35,30.23,Top,180.0
R32,38.35,32.00,Top,180.0
R33, 5.46,11.05,Top,0.0
R34, 5.46,14.10,Top,0.0
R35, 5.46,17.14,Top,0.0
R36, 5.46,20.07,Top,0.0
R37,45.09,102.49,Top,0.0
R38,45.09,105.41,Top,0.0
R39,45.09,108.59,Top,0.0
R40,45.09,111.51,Top,0.0
R41,45.09,114.55,Top,0.0
R42,45.09,117.48,Top,0.0
R43,45.09,120.52,Top,0.0
R44,45.09,123.57,Top,0.0
R45,77.98,118.11,Top,180.0
R46,77.98,119.89,Top,180.0
R47,77.98,121.67,Top,180.0
R48,77.98,123.44,Top,180.0
R49,38.35,72.01,Top,180.0
R50, 5.46,77.98,Top,0.0
R51, 5.46,81.03,Top,0.0
R52, 5.46,84.07,Top,0.0
R53, 5.46,87.00,Top,0.0
R54, 5.46,90.04,Top,0.0
R55, 5.46,93.09,Top,0.0
R56,38.35,102.74,Top,180.0
R57,38.35,104.52,Top,180.0
R58,38.35,73.79,Top,180.0
R59,38.35,75.56,Top,180.0
R60,38.35,77.34,Top,180.0
R61,38.35,87.76,Top,180.0
R62,38.35,89.54,Top,180.0
R63,38.35,91.31,Top,180.0
R64,38.35,93.09,Top,180.0
R65, 5.46,72.01,Top,0.0
R66, 5.46,75.06,Top,0.0
R67,38.35,106.30,Top,180.0
R68, 5.46,114.43,Top,0.0
R69, 5.46,117.48,Top,0.0
R70, 5.46,120.40,Top,0.0
R71, 5.46,123.44,Top,0.0
R72,38.35,41.40,Top,180.0
R73,38.35,43.18,Top,180.0
R74,38.35,44.96,Top,180.0
R75,38.35,46.74,Top,180.0
R76,38.35,108.20,Top,180.0
R77,38.35,118.36,Top,180.0
R78,38.35,120.14,Top,180.0
R79,38.35,121.92,Top,180.0
R80,38.35,123.70,Top,180.0
R81, 5.46,102.49,Top,0.0
R82, 5.46,105.54,Top,0.0
R83, 5.46,108.59,Top,0.0
R84, 5.46,111.51,Top,0.0
R85, 5.46,41.53,Top,0.0
R86, 5.46,44.58,Top,0.0
R87, 5.46,47.63,Top,0.0
R88, 5.46,50.42,Top,0.0
R89, 5.46,53.59,Top,0.0
R90, 5.46,56.52,Top,0.0
R91, 5.46,59.56,Top,0.0
R92, 5.46,62.61,Top,0.0
R93,38.35,57.53,Top,180.0
R94,38.35,59.18,Top,180.0
R95,38.35,60.83,Top,180.0
R96,38.35,62.48,Top,180.0
U$1,24.38,111.89,Top,270.0
U$2,24.13,81.41,Top,270.0
U$3,63.50,81.41,Top,270.0
U$4,24.13,50.93,Top,270.0
U$5,63.50,111.89,Top,270.0
U$6,24.13,20.45,Top,270.0
