Comment,Designator,Footprint,LCSC Part #
BATTERY_HOLDER_KEYSTONE_498,XB1,498,
BUTTON,S1,B3S-100X,
CAPACITOR_0603_10V_0.1UF,C1 C6 C9 C10 C14 C15 C16 C17 C18 C19 C20 C22 C25 C29,0603-CAP,
CAPACITOR_0603_10V_1UF,C2 C11 C13 C26 C30,0603-CAP,
CAPACITOR_0603_10V_4.7NF,C24,0603-CAP,
CAPACITOR_0603_10V_15PF,C21 C23,0603-CAP,
CAPACITOR_0603_25V_10UF,C4 C5 C28,0603-CAP,
CAPACITOR_0805_50V_10UF,C27,0805-CAP,
LED_0603_GREEN,B BSPD C D E F G,0603-LED,
LED_0603_ORANGE,BMS IMD SWOK WDOG,0603-LED,
LED_0603_RED,B_HI B_MIS C_HI C_MIS ESP GPS LTE MQTT RTK,0603-LED,
LED_0603_WHITE,LATCH,0603-LED,
LED_0603_YELLOW,3V3 5V0,0603-LED,
LOGICGATE_AND_DCK3,U15,SC-70-5,
LOGICGATE_NOR,U13,SC-70-5,
LOGICGATE_OR,U8 U9 U10 U11 U12,SC-70-5,
LTC6820,U2 U3,MSOP-16,
MCP3208,U6,SOIC-16,
OPAMP_1_CHANNEL_OPA991,U7,SC-70-5,
OPAMP_2_CHANNEL_OPA_2991,U24 U25 U26 U27,SOT-23-8,
RELAY_DPDT_07DSMT,K1 K2 K3 K4 K5,IM*G,
RESISTOR_0603_1.13K,R63 R64 R151 R153,0603-RES,
RESISTOR_0603_1.24K,R65,0603-RES,
RESISTOR_0603_1.33K,R150 R152,0603-RES,
RESISTOR_0603_1K,R46 R50,0603-RES,
RESISTOR_0603_2.18K,R68,0603-RES,
RESISTOR_0603_2.55K,R66,0603-RES,
RESISTOR_0603_2K,R5 R8 R11 R14 R17 R20 R24 R25 R26 R27 R31 R32 R57 R58 R59 R60 R61,0603-RES,
RESISTOR_0603_4.64K,R6 R9 R12 R15 R18 R21 R135 R136 R137,0603-RES,
RESISTOR_0603_10.2K,R33 R34 R62,0603-RES,
RESISTOR_0603_10K,R54 R67 R69,0603-RES,
RESISTOR_0603_14K,R53,0603-RES,
RESISTOR_0603_36.5K,R7 R10 R13 R16 R19 R22 R138 R139 R140,0603-RES,
RESISTOR_0603_43K,R45 R51,0603-RES,
RESISTOR_0603_60.4,R47 R52,0603-RES,
RESISTOR_0603_120,R23 R30 R55 R56,0603-RES,
RESISTOR_0603_180,R28,0603-RES,
RESISTOR_0603_240,R29 R41 R44 R48 R49,0603-RES,
SCHOTTKY_1206_40V,D2,1206-DIODE,
SCHOTTKY_SOD323_30V,D3 D9 D10 D11 D12 D13 D14 D15 D16 D17,SOD-323,
TCAN1051HQV-Q1,U4,"SOIC-08(NARROW 0.15"")",
TCAN1051HQV-Q1,U14,"SOIC-08(NARROW 0.15"")",
TEENSY_4.1_SMT,A2,TEENSY_LONG_SSM,
TEST_POINT,CUR TP1 TP2 TP3 TP4 TP6 TP7 TP8 TP9 TP10 TP11 TP12 TP13,5015,
TRANSFORMER_HM2112ZNLT,T1,HM2112ZNLT,
TVS_DO-214AA_30V,D4 D5 D6 D7 D8,1.5SMBJ,
TVS__5V,D18,SOT-23,
VOLTAGE_REGULATOR_SOT-223_3.3V,U1,SOT-223,
ADM8316WBX30,U31,SOT-23-5,
