"Board Quantity","Ordering Quantity","Value","Reference","ATTRITION","CAPACITANCE","COLOR","DKPN","FUSE_TYPE","MANUFACTURER","MOPN","MPN","POWER","RESISTANCE","TEENSY","TOLERANCE","VOLTAGE","VOLTAGE_CONTINUOUS","VOLTAGE_MAX",
"2","4","78613/3C_78613/3C","T1, T2","100","","","811-3726-ND","","Murata Power Solutions","580-786133C","78613/3C","","","","","","","",
"6","16","CAPACITOR_0603_10V_0.1UF","C54, C55, C63, C65, C66, C67","167","0.1µF","","720-1688-1-ND","","Vishay Vitramon","77-VJ0603Y104JXQPBC","VJ0603Y104JXQPW1BC","","","","5%","10V","","",
"2","12","CAPACITOR_0603_10V_15PF","C58, C59","500","15pF","","720-VJ0603A150FXQPW1BCCT-ND","","Vishay Vitramon","77-VJ0603A150FXQPBC","VJ0603A150FXQPW1BC","","","","1%","10V","","",
"12","22","CAPACITOR_0603_10V_1UF","C8, C9, C10, C11, C12, C13, C14, C15, C56, C57, C68, C69","83","1µF","","311-1796-1-ND","","Yageo","603-CC603KRX7R6BB105","CC0603KRX7R6BB105","","","","10%","10V","","",
"1","11","CAPACITOR_0603_10V_4.7NF","C60","1000","4.7nF","","732-7931-1-ND","","Würth Elektronik","710-885012206012","885012206012","","","","10%","10V","","",
"1","11","CAPACITOR_0603_10V_4.7UF","C61","1000","4.7µF","","1276-1044-1-ND","","Samsung Electro-Mechanics","187-CL10A475KP8NNNC","CL10A475KP8NNNC","","","","10%","10V","","",
"3","13","CAPACITOR_0603_25V_10UF","C3, C5, C6","333","10µF","","490-7202-1-ND","","Murata Electronics","81-GRM188R61E106MA3D","GRM188R61E106MA73D","","","","20%","25V","","",
"6","16","CAPACITOR_0603_35V_0.1UF","C48, C49, C50, C51, C52, C62","167","0.1µF","","587-3354-1-ND","","Taiyo Yuden","963-GMK107B7104KAHT","GMK107B7104KAHT","","","","10%","35V","","",
"2","12","CAPACITOR_0603_35V_1UF","C53, C64","500","1µF","","445-173625-1-ND","","TDK Corporation","810-C1608X7R1V105KAE","C1608X7R1V105K080AE","","","","10%","35V","","",
"3","13","CAPACITOR_0805_50V_10UF","C1, C2, C4","333","10uF","","490-18663-2-ND","","Murata","81-GRM21BR61H106KE3L"," GRM21BR61H106KE43L","","","","10%","50V","","",
"1","3","CAPACITOR_ELECTROLYTIC_EEH_AZS_470UF","C7","200","470uF","","10-EEH-AZS1V471BCT-ND","","Panasonic Electronic Components","667-EEH-AZS1V471B","EEH-AZS1V471B","","","","20&","35V","","",
"1","3","CONNECTOR-10_MF_T_V_","J10","200","","","WM1799-ND","","MOLEX","538-43045-1014","430451014","","","","","","","",
"1","3","CONNECTOR-2_MICROFIT_SMD_RIGHTANGLE_02_SINGLE_BLACK","J11","200","","","WM14310CT-ND","","Molex","538-43650-0214","0436500214","","","","","","","",
"1","3","CONNECTOR-2_μF_T_V_BLACK","J8","200","","","WM12762-ND","","Molex","538-43650-0217","436500217","","","","","","","",
"3","5","CONNECTOR-4_μF_S_RA_","J4, J5, J9","67","","","WM1832CT-ND","","Molex","538-0430450411","0430450411","","","","","","","",
"5","7","CONNECTOR-4_μF_T_V_BLACK","J2, J3, J7, J13, J15","40","","","2266-43045-0414-ND","","Molex","538-43045-0414","430450414","","","","","","","",
