Board Quantity,Ordering Quantity,Value,Reference,ATTRITION,CAPACITANCE,COLOR,CURRENT,DKPN,ESR,FUSE_TYPE,GAUGE,MANUFACTURER,MOPN,MPN,POWER,RESISTANCE,TOLERANCE,VOLTAGE,VOLTAGE_CONTINUOUS,VOLTAGE_MAX
1,,,CV1,,,,,,,,,,,,,,,,,
1,11,CAPACITOR_0603_100V_0.1UF,C8,1000,0.1µF,,,311-1523-1-ND,,,,Yageo,603-CC603KRX7R0BB104,CC0603KRX7R0BB104,,,10%,100V,,
4,14,CAPACITOR_0603_10V_0.1UF,"C20, C21, C23, C25",250,0.1µF,,,720-1688-1-ND,,,,Vishay Vitramon,77-VJ0603Y104JXQPBC,VJ0603Y104JXQPW1BC,,,5%,10V,,
2,12,CAPACITOR_0603_10V_1UF,"C19, C22",500,1µF,,,311-1796-1-ND,,,,Yageo,603-CC603KRX7R6BB105,CC0603KRX7R6BB105,,,10%,10V,,
1,11,CAPACITOR_0603_10V_4.7UF,C24,1000,4.7µF,,,1276-1044-1-ND,,,,Samsung Electro-Mechanics,187-CL10A475KP8NNNC,CL10A475KP8NNNC,,,10%,10V,,
2,12,CAPACITOR_0603_25V_0.1UF,"C1, C9",500,0.1µF,,,1276-1006-1-ND,,,,Samsung Electro-Mechanics,187-CL10B104KA8NNNC,CL10B104KA8NNNC,,,10%,25V,,
1,11,CAPACITOR_0603_25V_10UF,C5,1000,10µF,,,490-7202-1-ND,,,,Murata Electronics,81-GRM188R61E106MA3D,GRM188R61E106MA73D,,,20%,25V,,
6,16,CAPACITOR_0603_25V_1UF,"C11, C13, C15, C16, C17, C18",167,1µF,,,1276-1184-1-ND,,,,Samsung Electro-Mechanics,187-CL10B105KA8NNNC,CL10B105KA8NNNC,,,10%,25V,,
2,12,CAPACITOR_0603_25V_4.7UF,"C4, C6",500,4.7uF,,,445-9050-1-ND,,,,TDK Corporation,810-C1608X5R1E475K, C1608X5R1E475K080AC,,,10%,25V,,
1,11,CAPACITOR_0603_50V_0.1UF,C26,1000,0.1µF,,,311-1344-1-ND,,,,Yageo,603-CC603KRX7R9BB104,CC0603KRX7R9BB104,,,10%,50V,,
2,12,CAPACITOR_0603_50V_10NF,"C10, C12",500,10nF,,,445-7404-1-ND,,,,TDK Corporation,810-C1608C0G1H103J,C1608C0G1H103J080AA,,,5%,50V,,
1,11,CAPACITOR_0603_50V_1UF,C27,1000,1uF,,,587-2400-2-ND,,,,Taiyo Yuden,963-UMK107BJ105KA-T,UMK107BJ105KA-T,,,10%,50V,,
1,11,CAPACITOR_0603_50V_47PF,C2,1000,47pF,,,445-12417-1-ND,,,,TDK Corporation,CGA3E2NP01H470J080AA,CGA3E2NP01H470J080AA,,,5%,50V,,
1,11,CAPACITOR_0805_50V_10UF,C7,1000,10uF,,,490-18663-2-ND,,,,Murata,81-GRM21BR61H106KE3L, GRM21BR61H106KE43L,,,10%,50V,,
1,3,CAPACITOR_1812_1000V_0.1UF,C14,200,0.1uF,,,399-C1812W104KDRAC7800CT-ND,,,,KEMET,80-C1812W104KDR,C1812W104KDRAC7800,,,10%,1000V,,
1,3,CAPACITOR_ELECTROLYTIC_A759_180UF,C3,200,180uF,,,399-A759KR187M1VAAE024-ND,24mOhms,,,KEMET,80-A759KR187M1VAAE24,A759KR187M1VAAE024,,,20%,25V,,
1,3,CONNECTOR-5_MICRO_V6S_,J2,200,,,,,,,,Molex,,2165713006,,,,,,
1,3,CONNECTOR-5_MICRO_V7S_,J1,200,,,,,,,,Molex,,2165713007,,,,,,
1,3,CONNECTOR-8_μF_T_V_BLACK,J3,200,,,,WM1798-ND,,,,Molex,538-43045-0814,430450814,,,,,,
14,28,CRIMP_MICROFIT_20-24,"O9, O10, O11, O12, O13, O14, O15, O16, O17, O18, O19, O20, O21, O22",100,,,,WM2776CT-ND,,,20-24,Molex,538-43030-0003,430300003,,,,,,
2,4,FUSE_HOLDER_122,"F1, F2",100,,,,F3783-ND,,"1 1/4 Cartridge""",,Littelfuse,576-01220088Z,01220088Z,,,,,,
1,2,FUSE_MINI_BLADE_10,O25,100,,,,F991-ND,,,,Littelfuse,576-0297010.WXNV,0297010.WXNV,,,,,,
2,4,ISO224B_AIRGAP,"U3, U4",100,,,,296-52316-1-ND,,,,Texas Instruments,595-ISO224BDWVR,ISO224BDWVR,,,,,,
2,12,LED_0603_BLUE,"D3, D4",500,,Blue,,754-1789-1-ND,,,,Kingbright,604-APT1608VBC/D,APT1608VBC/D,,,,,,
2,12,LED_0603_GREEN,"D6, LED_+12V",500,,Green,,754-1790-1-ND,,,,Kingbright,604-APT1608ZGCK,APT1608ZGCK,,,,,,
1,11,LED_0603_ORANGE,D5,1000,,Orange,,754-1120-1-ND,,,,Kingbright,604-APT1608SECK,APT1608SECK,,,,,,
1,11,LED_0603_YELLOW,D8,1000,,Yellow,,754-1788-1-ND,,,,Kingbright,604-APT1608SYCK/J3-PRV,APT1608SYCK/J3-PRV,,,,,,
1,3,LT8316,U2,200,,,,505-LT8316EFE#PBF-ND,,,,Analog Devices,584-LT8316EFE#PBF,LT8316EFE#PBF,,,,,,
1,3,LTC6994-2,U10,200,,,,,,,,,,,,,,,,
1,2,RECEPTACLE-4_MICROFIT,O23,100,,,,WM11225-ND,,,,Molex,538-43025-0408,430250408,,,,,,
1,2,RECEPTACLE-6_SINGLE_MICROFIT,O3,100,,,,WM13217-ND,,,,Molex,538-43645-0608,436450608,,,,,,
1,2,RECEPTACLE-7_MICROFIT,O2,100,,,,WM2405-ND,,,,Molex,538-43645-0700,436450700,,,,,,
1,3,RECTIFIER_1000V_SMA,D103,200,,,1A,US1M-FDITR-ND,,,,Diodes Incorporated,621-US1M-F,US1M-13-F,,,,1000V,,
1,3,RELAY_SOLIDSTATE_NO_AB38S-Q-AIRGAP,U5,200,,,,1835-1216-ND,,,,Comus International,,AB38S-Q,,,,600V,,
1,3,RELAY_SPST_NO_D_24,K1,200,,,,725-1048-ND,,,,Sensata-Cynergy3,285-DAR72410,DAR72410,,,,,,
2,12,RESISTOR_0603_,"R15, R18",500,,,,P30KBDCT-ND,,,,Panasonic Electronic Components,667-ERA-3ARB303V,ERA-3ARB303V,0.1W,30k,0.10%,,54.77V,75V
1,11,RESISTOR_0603_0.02,R2,1000,,,,P17461CT-ND,,,,Panasonic Electronic Components,667-ERJ-3BWFR020V,ERJ-3BWFR020V,0.33W,0.02,1%,,0.081V,150V
2,12,RESISTOR_0603_10,"R4, R33",500,,,,311-10.0HRCT-ND,,,,Yageo,603-RC0603FR-0710RL,RC0603FR-0710RL,0.1W,10,1%,,1.00V,75V
4,14,RESISTOR_0603_10K,"R3, R6, R7, R28",250,,,,311-10.0KHRCT-ND,,,,Yageo,603-RC0603FR-0710KL,RC0603FR-0710KL,0.1W,10k,1%,,31.62V,75V
4,14,RESISTOR_0603_1K,"R1, R26, R29, R31",250,,,,1712-CPF-A-0603B1K0ETR-ND,,,,TE Connectivity Passive Product,279-CPF-A-0603B1K0E, CPF-A-0603B1K0E,0.0625W,1k,0.10%,,7.9V,50V
1,11,RESISTOR_0603_20K,R12,1000,,,,311-20.0KHRTR-ND,,,,Yageo,603-RC0603FR-0720KL ,RC0603FR-0720KL,0.1 W,20k,1%,,44.72V,75V
2,12,RESISTOR_0603_2K,"R25, R27",500,,,,10-ERJ-UP3F2001VTR-ND,,,,Panasonic Electronic Components,667-ERJ-UP3F2001V,ERJ-UP3F2001V,0.25W,2k,1%,,22.36V,150V
1,11,RESISTOR_0603_3.3K,R30,1000,,,,P20340TR-ND,,,,Panasonic Electronic Components,667-ERJ-PB3D3301V,ERJ-PB3D3301V,0.2W,3.3k,0.50%,,25.69V,150
1,11,RESISTOR_0603_39,R24,1000,,,,13-RT0603BRD0739RLTR-ND,,,,Yageo,603-RT0603BRD0739RL,RT0603BRD0739RL,0.1W,39,1%,,1.97V,75V
1,11,RESISTOR_0603_75K,R32,1000,,,,RT0603BRE0775KL-ND,,,,Yageo,603-RT0603BRE0775KL,RT0603BRE0775KL,0.1W,75k,0.10%,,75V,75V
1,11,RESISTOR_0603_93.1K,R5,1000,,,,P20197CT-ND,,,,Panasonic Electronic Components,667-ERJ-PB3B9312V,ERJ-PB3B9312V,0.2W,93.1k,0.10%,,136V,150V
2,12,RESISTOR_0603_DNP,"R20, R36",500,,,,,,,,,,,,DNP,,,,
1,11,RESISTOR_0805_1M,R34,1000,,,,P20936TR-ND,,,,Panasonic Electronic Components,667-ERJ-PB6B1004V,ERJ-PB6B1004V,0.25W,1M,0.10%,,150V,150V
1,11,RESISTOR_0805_523K,R35,1000,,,,P20904TR-ND,,,,Panasonic Electronic Components,667-ERJ-PB6B5233V,ERJ-PB6B5233V,0.25W,523k,0.10%,,150V,150V
2,12,RESISTOR_0805_HV1M,"R10, R19",500,,,,RHM1.00MAHTR-ND,,,,Rohm Semiconductor,755-KTR10EZPF1004,KTR10EZPF1004,0.125W,1M,1%,,353.5V,400V
4,14,RESISTOR_0805_HV365K,"R9, R11, R21, R22",250,,,,RHM365KAHTR-ND ,,,,Rohm,755-KTR10EZPF3653,KTR10EZPF3653,0.125W,365k,1%,,213V,350V
4,14,RESISTOR_0805_HV75K,"R8, R14, R16, R17",250,,,,RHM75KAHTR-ND,,,,Rohm Semiconductor,755-KTR10EZPF7502,KTR10EZPF7502 ,0.125W,75k,1%,,96.8V,400V
2,4,RESISTOR_B20-SHORTENED_1.5K,"R13, R23",100,,,,B20J1K5E-ND,,,,Ohmite,588-B20J1K5E,B20J1K5E,20W,1.5K,5%,,173V,750V
2,4,SCHOTTKY_DO-214AA_150V,"D1, D101",100,,,3A,641-1720-1-ND,,,,Comchip Technology,750-CDBB3150-HF,CDBB3150-HF,,,,150V,,
1,3,SCHOTTKY_SOD323_60V,D100,200,,,1A,3757-MBR1060HEWS_R1_00001TR-ND,,,,Panjit International Inc.,241-MBR1060HEWSR1000,MBR1060HEWS_R1_00001,,,,60V,,
17,19,TEST_POINT,"+5V, +24V, GND, IP+, IP-, IT+, IT-, PACK+, PACK+FUSED, PACK_DIV_OUT, PRECHARGE_OK, SHDN, TS+10V, TS+12V, TS-FUSED, TS-UNFUSED, TS_DIV_OUT",12,,,,36-5015CT-ND,,,,Keystone Electronics,534-5015,5015,,,,,,
1,3,TRANSFORMER(3W),T1,200,,,,,,,,Sumida,851-11328-T061,11328-T061,,,,,,
1,3,TRANSISTOR_N_MOS_POWERFLAT5X6_STL2N80K5,Q1,200,,,,497-14539-1-ND,,,,STMicroelectronics,511-STL2N80K5,STL2N80K5,,,,,,
1,3,TRANSISTOR_N_MOS__PMV15ENEA,Q2,200,,,,1727-8588-1-ND,,,,Nexperia USA Inc.,771-PMV15ENEAR,PMV15ENEAR,,,,,,
1,3,TVS_8V,D7,200,,,,GSOT08-E3-08TR-ND,,,,Vishay General Semiconductor - Diodes Division,78-GSOT08-E3-08,GSOT08-E3-08,,,,8V,,
1,3,VOLTAGE_REGULATOR_SOT-223_10V,U1,200,,,,LM2937IMPX-10/NOPBDKR-ND,,,,Texas Instruments,926-LM2937IMP-10NOPB, LM2937IMPX-10/NOPB,,,,,,
1,6,VOLTAGE_REGULATOR_SOT-23-5_5V,U6,500,,,,497-ST732M50RTR-ND,,,,STMicroelectronics,511-ST732M50R,ST732M50R,,,,,,
1,3,ZENER_DO-214AA_100V,D102,200,,,0.03A,1SMB5949B-13DICT-ND,,,,Diodes Incorporated,621-1SMB5949B-13,1SMB5949B-13,,,,100V,,
