Tractive System Board Rev8
Board Quantity,Ordering Quantity,Value,Reference,ATTRITION,CAPACITANCE,COLOR,CURRENT,CURRENT_RATED,CURRENT_SATURATION,DCR,DKPN,FUSE_TYPE,GAUGE,INDUCTANCE,MANUFACTURER,MOPN,MPN,POWER,RESISTANCE,TOLERANCE,VOLTAGE,VOLTAGE_CONTINUOUS,VOLTAGE_MAX,
2,4,AMC3330_AIRGAP,"U7, U8",100,,,,,,,296-AMC3330DWERCT-ND,,,,Texas Instruments,595-AMC3330DWER,AMC3330DWER,,,,,,,
2,12,CAPACITOR_0603_100V_10NF,"C43, C52",500,10nF,,,,,,311-1788-1-ND,,,,Yageo,603-CC603KRX7R0BB103,CC0603KRX7R0BB103,,,10%,100V,,,
2,12,CAPACITOR_0603_10V_0.1UF,"C23, C25",500,0.1µF,,,,,,720-1688-1-ND,,,,Vishay Vitramon,77-VJ0603Y104JXQPBC,VJ0603Y104JXQPW1BC,,,5%,10V,,,
3,13,CAPACITOR_0603_25V_10UF,"C24, C32, C33",333,10µF,,,,,,490-7202-1-ND,,,,Murata Electronics,81-GRM188R61E106MA3D,GRM188R61E106MA73D,,,20%,25V,,,
2,12,CAPACITOR_0603_25V_1UF,"C40, C49",500,1µF,,,,,,1276-1184-1-ND,,,,Samsung Electro-Mechanics,187-CL10B105KA8NNNC,CL10B105KA8NNNC,,,10%,25V,,,
1,11,CAPACITOR_0603_25V_47NF,C30,1000,47nF,,,,,,478-6340-1-ND,,,,Kyocera AVX,581-06033C473K42ZA,06033C473K4Z2A,,,10%,25V,,,
5,15,CAPACITOR_0603_50V_0.1UF,"C26, C37, C42, C46, C51",200,0.1µF,,,,,,311-1344-1-ND,,,,Yageo,603-CC603KRX7R9BB104,CC0603KRX7R9BB104,,,10%,50V,,,
1,11,CAPACITOR_0603_50V_10NF,C56,1000,10nF,,,,,,445-7404-1-ND,,,,TDK Corporation,810-C1608C0G1H103J,C1608C0G1H103J080AA,,,5%,50V,,,
2,12,CAPACITOR_0603_50V_1NF,"C41, C50",500,1nF,,,,,,399-C0603C102K5RAC7867CT-ND,,,,KEMET,80-C0603C102K5R,C0603C102K5RACTU,,,10%,50V,,,
1,11,CAPACITOR_0603_50V_1UF,C27,1000,1uF,,,,,,587-2400-1-ND,,,,Taiyo Yuden,963-UMK107BJ105KA-T,UMK107BJ105KA-T,,,10%,50V,,,
2,12,CAPACITOR_1206_25V_1UF,"C36, C45",500,1µF,,,,,,478-KGM31HR71E105KUCT-ND,,,,KYOCERA AVX,581-12063C105K,KGM31HR71E105KU,,,10%,25V,,,
