Comment,Designator,Footprint,LCSC Part #
AMC3330_AIRGAP,U7 U8,SOIC-16W-AIRGAP,
CAPACITOR_0603_10V_0.1UF,C23 C25,0603-CAP,
CAPACITOR_0603_25V_1UF,C40 C49,0603-CAP,
CAPACITOR_0603_25V_10UF,C24 C32 C33,0603-CAP,
CAPACITOR_0603_25V_47NF,C30,0603-CAP,
CAPACITOR_0603_50V_0.1UF,C26 C37 C42 C46 C51,0603-CAP,
CAPACITOR_0603_50V_1NF,C41 C50,0603-CAP,
CAPACITOR_0603_50V_1UF,C27,0603-CAP,
CAPACITOR_0603_50V_10NF,C56,0603-CAP,
CAPACITOR_0603_100V_10NF,C43 C52,0603-CAP,
CAPACITOR_1206_25V_1UF,C36 C45,1206-CAP,
CAPACITOR_1206_50V_0.1UF,C39 C48,1206-CAP,
CAPACITOR_1206_50V_1NF,C31 C38 C44 C47,1206-CAP,
CAPACITOR_1206_630V_10NF,C55,1206-CAP,
CAPACITOR_1206_630V_47PF,C54,1206-CAP,
CAPACITOR_1812_1000V_0.1UF,C35,1812-CAP,
CAPACITOR_2220_35V_47UF,C3,2220-CAP,
INDUCTOR_SRR0745A_1MH,L1,SRR0745A-102M,
LED_0603_BLUE,D3 D4,0603-LED,
LED_0603_GREEN,D6 LED_+12V1,0603-LED,
LED_0603_ORANGE,D5,0603-LED,
LED_0603_YELLOW,D8,0603-LED,
LT8315,U6,TSSOP-20(16),
LTC6994-2,U10,SOT-23-6,
RECTIFIER_800V_SOD-123FA,D10 D11,SOD-123FA,
RELAY_SOLIDSTATE_NO_AB38S-Q-AIRGAP,U5,SOP-04-AIRGAP,
RESISTOR_0603_0.12,R51,0603-RES,
RESISTOR_0603_1.65K,R18,0603-RES,
RESISTOR_0603_1K,R26 R29 R31 R50,0603-RES,
RESISTOR_0603_2K,R25 R27,0603-RES,
RESISTOR_0603_3.3K,R30,0603-RES,
RESISTOR_0603_5.9K,R49,0603-RES,
RESISTOR_0603_10,R33,0603-RES,
RESISTOR_0603_10K,R28,0603-RES,
RESISTOR_0603_22.1K,R40,0603-RES,
RESISTOR_0603_39,R24,0603-RES,
RESISTOR_0603_75K,R32,0603-RES,
RESISTOR_0603_DNP,R20 R42,0603-RES,
RESISTOR_0603_HV3.3K,R55 R60,0603-RES,
RESISTOR_0805_1M,R34,0805-RES,
RESISTOR_0805_523K,R35,0805-RES,
RESISTOR_0805_HV1M,R54 R59,0805-RES,
RESISTOR_0805_HV365K,R52 R53 R57 R58,0805-RES,
RESISTOR_1206_HV4.99K,R56 R61,1206-RES,
RESISTOR_1206_HV46.4K,R47 R48,1206-RES,
SCHOTTKY_SOD323_60V,D100,SOD-323,
TEST_POINT,+5V +24V EN/UVLO GND IP+ IP- IT+ IT- PACK+ PACK+FUSED PACK_HLDO PACK_INP PACK_ISO_DIAG PRECHARGE_OK SHDN TS+12V TS-FUSED TS-UNFUSED TS_HLDO TS_INP TS_ISO_DIAG,5015,
TRANSISTOR_N_MOS__PMV15ENEA,Q2,SOT-23,
TVS__8V,D7,SOT-23,
ZENER_SMB(DO-214AA)_13V,D12,SMB(DO-214AA),
