Designator,Mid X,Mid Y,Layer,Rotation
+5V,64.26,-62.48,Top,0.0
+24V,72.90,-62.48,Top,0.0
C3,40.13,-22.86,Top,270.0
C23,62.74,-49.53,Top,0.0
C24,51.31,-59.18,Top,0.0
C25,51.31,-57.40,Top,0.0
C26,51.31,-44.20,Top,0.0
C27,51.31,-42.42,Top,0.0
C30,45.12,-12.95,Top,270.0
C31,78.49,-42.42,Top,180.0
C32,53.21,-7.49,Top,180.0
C33,53.21,-9.07,Top,180.0
C35,59.44,-22.61,Top,270.0
C36,78.49,-45.21,Top,180.0
C37,85.09,-41.91,Top,180.0
C38,77.98,-23.37,Top,180.0
C39,77.98,-26.16,Top,180.0
C40,85.60,-23.62,Top,180.0
C41,85.60,-26.67,Top,180.0
C42,84.07,-25.15,Top,180.0
C43,78.87,-21.08,Top,180.0
C44,90.93,-42.42,Top,180.0
C45,90.93,-45.21,Top,180.0
C46,97.54,-41.91,Top,180.0
C47,90.42,-23.37,Top,180.0
C48,90.42,-26.16,Top,180.0
C49,98.04,-23.62,Top,180.0
C50,98.04,-26.67,Top,180.0
C51,96.52,-25.15,Top,180.0
C52,91.31,-21.08,Top,180.0
C54,59.46,-10.46,Top,180.0
C55,54.51,-20.87,Top,180.0
C56,53.21,-5.91,Top,180.0
D3,24.89,-42.67,Top,0.0
D4,24.89,-46.23,Top,0.0
D5,24.89,-49.53,Top,0.0
D6,24.89,-52.83,Top,0.0
D7,67.82,-46.23,Top,90.0
D8,24.89,-56.39,Top,0.0
D10,59.44,-17.53,Top,180.0
D11,54.61,-23.62,Top,180.0
D12,39.62,-15.24,Top,270.0
D100,138.68,-59.18,Top,180.0
EN/UVLO,65.02,-5.59,Top,0.0
GND,55.63,-62.48,Top,0.0
IP+,42.93,-57.40,Top,0.0
IP-,42.93,-54.61,Top,0.0
IT+,42.93,-46.48,Top,0.0
IT-,42.93,-43.69,Top,0.0
L1,47.75,-23.62,Top,0.0
LED_+12V1,26.42,-25.15,Top,0.0
PACK+,110.74,-5.59,Top,0.0
PACK+FUSED,101.60,-5.59,Top,0.0
PACK_HLDO,92.46,-5.59,Top,0.0
PACK_INP,90.93,-16.76,Top,0.0
PACK_ISO_DIAG,90.17,-62.48,Top,0.0
PRECHARGE_OK,46.99,-62.48,Top,0.0
Q2,143.51,-59.18,Top,90.0
R18,51.56,-10.67,Top,180.0
R20,35.31,-20.32,Top,0.0
R24,107.19,-31.12,Top,90.0
R25,28.19,-42.67,Top,0.0
R26,28.19,-46.23,Top,180.0
R27,28.19,-49.53,Top,0.0
R28,67.82,-49.02,Top,180.0
R29,28.19,-52.83,Top,0.0
R30,96.52,-47.88,Top,90.0
R31,28.19,-56.39,Top,0.0
R32,62.74,-42.93,Top,180.0
R33,67.82,-43.43,Top,0.0
R34,60.20,-44.45,Top,270.0
R35,60.20,-48.01,Top,270.0
R40,47.50,-11.94,Top,0.0
R42,95.00,-47.88,Top,90.0
R47,46.48,-17.02,Top,270.0
R48,43.69,-17.02,Top,270.0
R49,47.50,-13.84,Top,0.0
R50,35.31,-22.35,Top,0.0
R51,48.90,-17.86,Top,90.0
R52,81.53,-18.29,Top,90.0
R53,83.31,-16.13,Top,90.0
R54,85.09,-13.97,Top,90.0
R55,78.99,-19.30,Top,0.0
R56,59.44,-12.83,Top,180.0
R57,94.74,-19.30,Top,0.0
R58,98.30,-19.30,Top,0.0
R59,101.85,-19.30,Top,0.0
R60,91.44,-19.30,Top,0.0
R61,59.44,-14.99,Top,180.0
SHDN,38.35,-62.48,Top,0.0
TS+12V,74.17,-5.59,Top,0.0
TS-FUSED,29.97,-19.56,Top,0.0
TS-UNFUSED,17.78,-19.69,Top,0.0
TS_HLDO,83.31,-5.59,Top,0.0
TS_INP,78.49,-16.76,Top,0.0
TS_ISO_DIAG,81.53,-62.48,Top,0.0
U5,102.62,-48.26,Top,270.0
U6,53.34,-15.24,Top,90.0
U7,81.28,-34.04,Top,180.0
U8,93.73,-34.04,Top,180.0
U10,62.99,-46.23,Top,180.0
